Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170000001,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,VIA AUGUSTA                                       ,Sunday,January,1,4,Night,1,0,1,1,2.1513299999999997,41.400771
20170000002,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,Sunday,January,1,2,Night,1,0,1,2,2.1823759999999996,41.39968
20170000003,Horta-Guinardó,el Baix Guinardó,RDA GUINARDÓ                                      ,Sunday,January,1,6,Morning,0,0,0,1,2.166464,41.412769
20170000004,Eixample,la Sagrada Família,BALMES / Rosselló                                 ,Sunday,January,1,7,Morning,1,0,1,2,2.157359,41.39331
20170000005,Sant Martí,el Parc i la Llacuna del Poblenou,PALLARS                                           ,Sunday,January,1,7,Morning,2,0,2,3,2.1932490000000002,41.397908
20170000006,Ciutat Vella,el Raval,TALLERS                                           ,Sunday,January,1,11,Morning,1,0,1,1,2.1651990000000003,41.385158000000004
20170000007,Sants-Montjuïc,la Marina del Prat Vermell,ULLDECONA / Sovelles                              ,Sunday,January,1,13,Morning,0,0,0,1,2.143206,41.352396
20170000008,Eixample,la Dreta de l'Eixample,ARAGÓ / Pau Claris                                ,Sunday,January,1,10,Morning,2,0,2,2,2.1663759999999996,41.393276
20170000009,Sants-Montjuïc,Sants,TARRAGONA / Av Roma                               ,Sunday,January,1,14,Afternoon,1,0,1,2,2.142907,41.380251
20170000010,Sant Andreu,el Congrés i els Indians,FELIP II / Garcilaso                              ,Sunday,January,1,12,Morning,1,0,1,1,2.1839720000000002,41.423153000000006
20170000011,Sant Martí,la Vila Olímpica del Poblenou,AV LITORAL                                        ,Sunday,January,1,15,Afternoon,1,0,1,2,2.201548,41.391096999999995
20170000012,Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,Sunday,January,1,10,Morning,2,0,2,2,2.1846240000000003,41.401695000000004
20170000013,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Gràcia                                 ,Sunday,January,1,15,Afternoon,1,0,1,1,2.164884,41.392165000000006
20170000014,Sants-Montjuïc,Sants,AV ROMA / Tarragona                               ,Sunday,January,1,16,Afternoon,1,0,1,2,2.142907,41.380251
20170000015,Sant Martí,la Verneda i la Pau,CANTÀBRIA                                         ,Sunday,January,1,17,Afternoon,2,0,2,3,2.199774,41.421282
20170000016,Eixample,el Fort Pienc,MARINA                                            ,Sunday,January,1,16,Afternoon,1,0,1,1,2.18148,41.398601
20170000017,Sant Martí,Provençals del Poblenou,CTRA C-31                                         ,Sunday,January,1,19,Afternoon,2,0,2,2,2.203262,41.415467
20170000018,Eixample,l'Antiga Esquerra de l'Eixample,MUNTANER                                          ,Sunday,January,1,19,Afternoon,1,0,1,2,2.151249,41.39265
20170000019,Sant Martí,el Poblenou,ESPRONCEDA                                        ,Sunday,January,1,19,Afternoon,1,0,1,1,2.2068380000000003,41.403515000000006
20170000020,Nou Barris,la Guineueta,PG VALLDAURA / Pg Fabra i Puig                    ,Sunday,January,1,17,Afternoon,0,0,0,2,2.166306,41.43925
20170000021,Sant Martí,el Besòs i el Maresme,CRISTÓBAL DE MOURA / Maresme                      ,Sunday,January,1,12,Morning,0,0,0,4,2.211914,41.415181
20170000022,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,AV DIAGONAL                                       ,Sunday,January,1,22,Night,1,0,1,2,2.150274,41.394436999999996
20170000023,Sants-Montjuïc,la Bordeta,CONSTITUCIÓ                                       ,Tuesday,January,3,21,Afternoon,3,0,3,2,2.135407,41.369828000000005
20170000024,Sants-Montjuïc,el Poble-sec,PL ESPANYA                                        ,Monday,January,2,6,Morning,1,0,1,1,2.15045,41.374497
20170000025,Les Corts,la Maternitat i Sant Ramon,AV DIAGONAL                                       ,Monday,January,2,7,Morning,1,0,1,2,2.106528,41.382695
20170000026,Sants-Montjuïc,Sants,AV MADRID                                         ,Monday,January,2,9,Morning,1,0,1,3,2.130864,41.380458000000004
20170000027,Gràcia,el Camp d'en Grassot i Gràcia Nova,SARDENYA / Trav Gràcia                            ,Monday,January,2,10,Morning,1,0,1,2,2.167786,41.407591
20170000028,Horta-Guinardó,la Font d'en Fargues,MAURICI VILOMARA / Montse Casanovas               ,Monday,January,2,10,Morning,2,0,2,1,2.162445,41.423321
20170000029,Sarrià-Sant Gervasi,el Putxet i el Farró,AV PRÍNC ASTÚRIES / Madrazo                       ,Monday,January,2,13,Morning,1,0,1,2,2.150978,41.401731
20170000030,Eixample,la Nova Esquerra de l'Eixample,VILADOMAT / Consell de Cent                       ,Monday,January,2,14,Afternoon,1,0,1,2,2.153928,41.382222
20170000031,Sants-Montjuïc,la Marina de Port,FOC / Urani                                       ,Monday,January,2,16,Afternoon,1,0,1,2,2.138761,41.355074
20170000032,Sants-Montjuïc,Hostafrancs,CREU COBERTA                                      ,Monday,January,2,17,Afternoon,1,0,1,4,2.145552,41.375106
20170000033,Eixample,la Sagrada Família,ARAGÓ / Castillejos                               ,Monday,January,2,17,Afternoon,1,0,1,2,2.181123,41.404365999999996
20170000034,Nou Barris,la Trinitat Nova,CTRA B-20 (BESÒS)                                 ,Monday,January,2,18,Afternoon,1,0,1,2,2.175769,41.445142
20170000035,Ciutat Vella,el Barri Gòtic,RDA LITORAL(BESÒS)                                ,Monday,January,2,19,Afternoon,1,0,1,4,2.179477,41.377111
